incident_id,latitude,longitude,area_name,crime_type,severity,time_of_day,date
INC00193,19.013871,73.018231,Seawoods Grand Central,Assault,3,Evening (17-21),2025-04-07
INC00194,19.036255,73.018354,Nerul Sector 19A,Eve Teasing / Harassment,1,Evening (17-21),2025-06-03
INC00195,19.034702,73.028435,Nerul East,Chain Snatching,4,Night (21-6),2025-08-08
INC00196,19.028572,73.007805,Nerul Sector 28,Stalking,2,Evening (17-21),2024-12-17
INC00197,19.040536,73.00838,Nerul Sector 20,Molestation,5,Night (21-6),2025-06-20
INC00198,19.037878,73.021911,Nerul Sector 8,Theft,4,Evening (17-21),2024-12-12
INC00199,19.042114,73.016878,Nerul Sector 19A,Eve Teasing / Harassment,2,Morning (6-12),2025-11-25
INC00200,19.033273,73.02979,Nerul East,Domestic Violence (reported outdoors),3,Evening (17-21),2025-08-19
INC00201,19.036334,73.022982,Nerul Sector 22,Robbery,4,Evening (17-21),2024-03-27
INC00202,19.011971,73.018648,Seawoods Grand Central,Assault,4,Night (21-6),2025-12-02
INC00203,19.033748,73.024364,Nerul Sector 8,Kidnapping Attempt,5,Morning (6-12),2024-11-12
INC00204,19.031609,73.019734,Nerul Sector 23,Suspicious Activity / Loitering,1,Afternoon (12-17),2024-05-20
INC00205,19.029617,73.027255,Nerul Sector 22,Eve Teasing / Harassment,1,Night (21-6),2025-09-24
INC00206,19.033778,73.021734,Nerul Sector 22,Stalking,3,Night (21-6),2024-02-14
INC00207,19.043914,73.028757,DY Patil Stadium Area,Suspicious Activity / Loitering,1,Night (21-6),2025-04-04
INC00208,19.018272,73.021476,Nerul Sector 40,Suspicious Activity / Loitering,1,Evening (17-21),2025-08-07
INC00209,19.029693,73.028254,"Juhu Nagar, Nerul",Robbery,5,Night (21-6),2024-07-23
INC00210,19.035984,73.020917,Nerul Sector 22,Suspicious Activity / Loitering,1,Evening (17-21),2024-04-15
INC00211,19.039809,73.021281,Nerul Sector 8,Stalking,4,Evening (17-21),2025-06-09
INC00212,19.035648,73.021234,Nerul Sector 22,Molestation,5,Night (21-6),2024-01-28
INC00213,19.041426,73.027016,DY Patil Stadium Area,Molestation,5,Night (21-6),2025-01-18
INC00214,19.014226,73.026447,Nerul Sector 40,Assault,4,Morning (6-12),2024-10-20
INC00215,19.035569,73.01911,Nerul Balaji Mandir Area,Suspicious Activity / Loitering,2,Evening (17-21),2024-03-22
INC00216,19.031947,73.02238,Nerul Railway Station Area,Kidnapping Attempt,5,Morning (6-12),2024-10-22
INC00217,19.016409,73.019382,Nerul Sector 40,Robbery,5,Morning (6-12),2025-05-26
INC00218,19.026131,73.017123,Nerul Sector 3,Molestation,4,Afternoon (12-17),2024-01-02
INC00219,19.032925,73.009333,Nerul West,Eve Teasing / Harassment,2,Morning (6-12),2025-06-22
INC00220,19.030059,73.020907,Nerul Sector 3,Kidnapping Attempt,4,Evening (17-21),2025-04-26
INC00221,19.040885,73.019548,Nerul Sector 19A,Theft,1,Evening (17-21),2024-03-10
INC00222,19.032929,73.011257,Nerul West,Eve Teasing / Harassment,2,Morning (6-12),2024-12-26
INC00223,19.028708,73.018142,Nerul Sector 3,Suspicious Activity / Loitering,2,Evening (17-21),2024-05-18
INC00224,19.042228,73.014549,Nerul Sector 20,Chain Snatching,3,Afternoon (12-17),2024-07-23
INC00225,19.038325,73.014181,Nerul Sector 19A,Robbery,5,Afternoon (12-17),2025-10-24
INC00226,19.028289,73.010897,Nerul Sector 28,Chain Snatching,3,Afternoon (12-17),2025-01-11
INC00227,19.048116,73.028946,DY Patil Stadium Area,Robbery,4,Night (21-6),2025-05-23
INC00228,19.032939,73.024378,Nerul Balaji Mandir Area,Theft,1,Night (21-6),2024-03-21
INC00229,19.04582,73.029579,DY Patil Stadium Area,Kidnapping Attempt,5,Evening (17-21),2024-03-22
INC00230,19.037787,73.014952,Nerul Lake Garden,Domestic Violence (reported outdoors),4,Afternoon (12-17),2025-03-30
INC00231,19.034577,73.011815,Nerul West,Assault,5,Afternoon (12-17),2024-02-28
INC00232,19.041869,73.01025,Nerul Sector 20,Kidnapping Attempt,5,Night (21-6),2024-05-26
INC00233,19.026278,73.026538,"Juhu Nagar, Nerul",Assault,4,Evening (17-21),2025-08-03
INC00234,19.040641,73.017132,Nerul Sector 19A,Assault,4,Evening (17-21),2024-03-19
INC00235,19.033236,73.023684,Nerul Sector 22,Theft,2,Night (21-6),2024-01-27
INC00236,19.027992,73.020096,Nerul Sector 23,Kidnapping Attempt,4,Afternoon (12-17),2024-09-23
INC00237,19.027717,73.030895,"Juhu Nagar, Nerul",Suspicious Activity / Loitering,1,Morning (6-12),2024-03-16
INC00238,19.027381,73.031707,"Juhu Nagar, Nerul",Eve Teasing / Harassment,2,Night (21-6),2025-12-27
INC00239,19.0409,73.009323,Nerul Sector 20,Theft,2,Night (21-6),2025-12-18
INC00240,19.03035,73.02107,Nerul Sector 23,Eve Teasing / Harassment,2,Night (21-6),2024-08-30
INC00241,19.03021,73.022432,Nerul Balaji Mandir Area,Assault,5,Night (21-6),2025-07-18
INC00242,19.033896,73.02119,Nerul Sector 22,Theft,3,Night (21-6),2025-05-05
INC00243,19.036286,73.022275,Nerul Sector 8,Domestic Violence (reported outdoors),3,Morning (6-12),2024-11-20
INC00244,19.0401,73.012441,Nerul Sector 20,Assault,4,Night (21-6),2025-07-18
INC00245,19.030142,73.018032,Nerul Sector 23,Kidnapping Attempt,4,Night (21-6),2025-06-14
INC00246,19.031433,73.021796,Nerul Sector 22,Molestation,4,Night (21-6),2025-06-15
INC00247,19.014267,73.015505,Seawoods Grand Central,Kidnapping Attempt,5,Morning (6-12),2024-11-06
INC00248,19.026747,73.018128,Nerul Sector 3,Domestic Violence (reported outdoors),3,Afternoon (12-17),2025-10-01
INC00249,19.03924,73.017009,Nerul Lake Garden,Chain Snatching,2,Morning (6-12),2025-10-18
INC00250,19.013709,73.021136,Nerul Sector 50 (Seawoods),Robbery,4,Evening (17-21),2025-10-04
INC00251,19.028317,73.020653,Nerul Sector 3,Suspicious Activity / Loitering,1,Night (21-6),2025-12-02
INC00252,19.033379,73.024584,Nerul East,Chain Snatching,3,Evening (17-21),2025-05-10
INC00253,19.027632,73.030853,"Juhu Nagar, Nerul",Assault,4,Night (21-6),2024-12-19
INC00254,19.032046,73.026964,Nerul East,Kidnapping Attempt,4,Evening (17-21),2025-04-22
INC00255,19.04364,73.011983,Nerul Sector 21,Eve Teasing / Harassment,1,Afternoon (12-17),2025-01-28
INC00256,19.042986,73.029922,DY Patil Stadium Area,Stalking,3,Night (21-6),2024-11-16
INC00257,19.032105,73.007986,Nerul Sector 28,Kidnapping Attempt,5,Evening (17-21),2024-11-11
INC00258,19.030185,73.025562,Nerul Balaji Mandir Area,Kidnapping Attempt,5,Night (21-6),2024-08-08
INC00259,19.031389,73.008251,Nerul West,Domestic Violence (reported outdoors),4,Afternoon (12-17),2024-01-09
INC00260,19.044947,73.01706,Nerul Sector 21,Assault,5,Evening (17-21),2025-02-14
INC00261,19.040362,73.013257,Nerul Sector 19A,Kidnapping Attempt,5,Morning (6-12),2025-05-31
INC00262,19.032115,73.028238,"Juhu Nagar, Nerul",Domestic Violence (reported outdoors),2,Morning (6-12),2024-04-09
INC00263,19.033986,73.031894,Nerul East,Kidnapping Attempt,5,Night (21-6),2024-07-22
INC00264,19.036211,73.019322,Nerul Sector 8,Chain Snatching,4,Night (21-6),2025-04-30
INC00265,19.036656,73.02385,Nerul Sector 8,Kidnapping Attempt,5,Evening (17-21),2025-09-19
INC00266,19.0338,73.020425,Nerul Lake Garden,Theft,2,Evening (17-21),2025-06-05
INC00267,19.029919,73.017503,Nerul Sector 3,Suspicious Activity / Loitering,1,Evening (17-21),2025-11-20
INC00268,19.049339,73.01467,Nerul Sector 21,Chain Snatching,4,Afternoon (12-17),2025-11-02
INC00269,19.019771,73.023668,Nerul Sector 40,Stalking,4,Morning (6-12),2025-11-28
INC00270,19.014253,73.026586,Nerul Sector 40,Eve Teasing / Harassment,2,Morning (6-12),2024-11-17
